date,rented_bike_count,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,seasons,holiday,functioning_day,season_spring,season_summer,season_autumn,season_winter
01/12/2017,254,0,0.1319796954314721,0.37755102040816324,0.2972972972972973,2000,-17.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,204,1,0.13959390862944163,0.3877551020408163,0.10810810810810811,2000,-17.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,173,2,0.15228426395939088,0.3979591836734694,0.13513513513513511,2000,-17.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,107,3,0.15736040609137056,0.40816326530612246,0.12162162162162161,2000,-17.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,78,4,0.15228426395939088,0.3673469387755102,0.31081081081081074,2000,-18.6,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,100,5,0.16243654822335027,0.37755102040816324,0.2027027027027027,2000,-18.7,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,181,6,0.16751269035532995,0.35714285714285715,0.17567567567567569,2000,-19.5,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,460,7,0.18781725888324874,0.3877551020408163,0.12162162162162161,2000,-19.3,0,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,930,8,0.19289340101522842,0.37755102040816324,0.14864864864864866,2000,-19.8,0.01,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,490,9,0.1649746192893401,0.2755102040816326,0.06756756756756756,1928,-22.4,0.23,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,339,10,0.08883248730964467,0.24489795918367346,0.16216216216216214,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,360,11,0.012690355329949238,0.21428571428571427,0.17567567567567569,1936,-20.2,0.94,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,449,12,0.04314720812182741,0.23469387755102042,0.18918918918918917,2000,-17.2,1.11,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,451,13,0.06091370558375635,0.25510204081632654,0.21621621621621623,2000,-15.6,1.16,0,0,Winter,No Holiday,Yes,0,0,0,1
01/12/2017,447,14,0.07614213197969544,0.2653061224489796,0.27027027027027023,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes,0,0,0,1
